hidden_state_index,decoder_layer_index,task_idx,task_id,condition,wording,recipient_label,donor_label,baseline_margin,patched_margin,raw_margin_shift,signed_transfer_effect
15,14,17,task_017,paraphrase_test,paraphrase,0,1,0.3219943642616272,0.3220024108886719,8.046627044677734e-06,8.046627044677734e-06
15,14,17,task_017,paraphrase_impl,paraphrase,1,0,0.405669629573822,0.4176272749900818,0.011957645416259766,-0.011957645416259766
15,14,18,task_018,canonical_test,canonical,0,1,-0.034323811531066895,-0.037357211112976074,-0.0030333995819091797,-0.0030333995819091797
15,14,18,task_018,canonical_impl,canonical,1,0,0.2959706783294678,0.30461549758911133,0.008644819259643555,-0.008644819259643555
15,14,18,task_018,paraphrase_test,paraphrase,0,1,0.13209748268127441,0.13285553455352783,0.000758051872253418,0.000758051872253418
15,14,18,task_018,paraphrase_impl,paraphrase,1,0,0.36833590269088745,0.37164855003356934,0.0033126473426818848,-0.0033126473426818848
15,14,19,task_019,canonical_test,canonical,0,1,0.11368429660797119,0.11618602275848389,0.0025017261505126953,0.0025017261505126953
15,14,19,task_019,canonical_impl,canonical,1,0,0.29665881395339966,0.2983635663986206,0.0017047524452209473,-0.0017047524452209473
15,14,19,task_019,paraphrase_test,paraphrase,0,1,0.1388443112373352,0.136327862739563,-0.002516448497772217,-0.002516448497772217
15,14,19,task_019,paraphrase_impl,paraphrase,1,0,0.2783671021461487,0.2695007920265198,-0.008866310119628906,0.008866310119628906
15,14,20,task_020,canonical_test,canonical,0,1,0.043541550636291504,0.04440116882324219,0.0008596181869506836,0.0008596181869506836
15,14,20,task_020,canonical_impl,canonical,1,0,0.2343810796737671,0.23526334762573242,0.000882267951965332,-0.000882267951965332
15,14,20,task_020,paraphrase_test,paraphrase,0,1,0.16572165489196777,0.17269086837768555,0.0069692134857177734,0.0069692134857177734
15,14,20,task_020,paraphrase_impl,paraphrase,1,0,0.2739216089248657,0.28301501274108887,0.009093403816223145,-0.009093403816223145
15,14,21,task_021,canonical_test,canonical,0,1,0.2797952890396118,0.2828601598739624,0.003064870834350586,0.003064870834350586
15,14,21,task_021,canonical_impl,canonical,1,0,0.580541729927063,0.5829786062240601,0.0024368762969970703,-0.0024368762969970703
15,14,21,task_021,paraphrase_test,paraphrase,0,1,0.3899887800216675,0.3925749659538269,0.002586185932159424,0.002586185932159424
15,14,21,task_021,paraphrase_impl,paraphrase,1,0,0.6216643452644348,0.6311138868331909,0.009449541568756104,-0.009449541568756104
15,14,22,task_022,canonical_test,canonical,0,1,-0.06886899471282959,-0.07626795768737793,-0.00739896297454834,-0.00739896297454834
15,14,22,task_022,canonical_impl,canonical,1,0,0.10277354717254639,0.1057358980178833,0.002962350845336914,-0.002962350845336914
15,14,22,task_022,paraphrase_test,paraphrase,0,1,-0.04223090410232544,-0.04161423444747925,0.0006166696548461914,0.0006166696548461914
15,14,22,task_022,paraphrase_impl,paraphrase,1,0,0.08739161491394043,0.09335452318191528,0.0059629082679748535,-0.0059629082679748535
15,14,23,task_023,canonical_test,canonical,0,1,0.16964805126190186,0.169846773147583,0.00019872188568115234,0.00019872188568115234
15,14,23,task_023,canonical_impl,canonical,1,0,0.30110442638397217,0.30108320713043213,-2.1219253540039062e-05,2.1219253540039062e-05
15,14,23,task_023,paraphrase_test,paraphrase,0,1,0.2957857847213745,0.30432188510894775,0.008536100387573242,0.008536100387573242
15,14,23,task_023,paraphrase_impl,paraphrase,1,0,0.40118008852005005,0.40043091773986816,-0.0007491707801818848,0.0007491707801818848
15,14,24,task_024,canonical_test,canonical,0,1,-0.009023785591125488,-0.001880645751953125,0.007143139839172363,0.007143139839172363
15,14,24,task_024,canonical_impl,canonical,1,0,0.35744428634643555,0.3589925765991211,0.0015482902526855469,-0.0015482902526855469
15,14,24,task_024,paraphrase_test,paraphrase,0,1,0.2060863971710205,0.2048858404159546,-0.001200556755065918,-0.001200556755065918
15,14,24,task_024,paraphrase_impl,paraphrase,1,0,0.39863669872283936,0.3977012038230896,-0.0009354948997497559,0.0009354948997497559
15,14,25,task_025,canonical_test,canonical,0,1,0.13289713859558105,0.13318568468093872,0.000288546085357666,0.000288546085357666
15,14,25,task_025,canonical_impl,canonical,1,0,0.30700886249542236,0.3056226968765259,-0.0013861656188964844,0.0013861656188964844
15,14,25,task_025,paraphrase_test,paraphrase,0,1,0.165818452835083,0.16699856519699097,0.001180112361907959,0.001180112361907959
15,14,25,task_025,paraphrase_impl,paraphrase,1,0,0.32570385932922363,0.32567352056503296,-3.0338764190673828e-05,3.0338764190673828e-05
15,14,26,task_026,canonical_test,canonical,0,1,-0.06793403625488281,-0.058487772941589355,0.009446263313293457,0.009446263313293457
15,14,26,task_026,canonical_impl,canonical,1,0,0.11336183547973633,0.1124732494354248,-0.0008885860443115234,0.0008885860443115234
