task_idx,task_id,recipient_condition,recipient_wording,recipient_label,donor_condition,donor_label,component,hidden_state_index,decoder_layer_index,common_suffix_tokens,projection_recovery,distance_recovery
1,task_001,paraphrase_test,paraphrase,0,paraphrase_impl,1,residual,28,27,114,0.8259308080425236,0.529738588681486
1,task_001,paraphrase_impl,paraphrase,1,paraphrase_test,0,attn,21,20,114,0.8099812008919949,0.5188705278541291
1,task_001,paraphrase_impl,paraphrase,1,paraphrase_test,0,attn,22,21,114,0.6198536396796417,0.3918846716116785
1,task_001,paraphrase_impl,paraphrase,1,paraphrase_test,0,attn,23,22,114,0.6200976529947613,0.4006433777531956
1,task_001,paraphrase_impl,paraphrase,1,paraphrase_test,0,attn,24,23,114,0.6268012999640694,0.38335074865495344
1,task_001,paraphrase_impl,paraphrase,1,paraphrase_test,0,attn,25,24,114,0.6980717803005458,0.4471378021961574
1,task_001,paraphrase_impl,paraphrase,1,paraphrase_test,0,attn,26,25,114,0.6816645418904396,0.4553061553101245
1,task_001,paraphrase_impl,paraphrase,1,paraphrase_test,0,attn,27,26,114,0.6115218274573971,0.36044087423668203
1,task_001,paraphrase_impl,paraphrase,1,paraphrase_test,0,attn,28,27,114,0.5940589422230405,0.3596083179981553
1,task_001,paraphrase_impl,paraphrase,1,paraphrase_test,0,mlp,21,20,114,0.9645341388660119,0.8179392793471092
1,task_001,paraphrase_impl,paraphrase,1,paraphrase_test,0,mlp,22,21,114,0.9165417752388825,0.7360589062301185
1,task_001,paraphrase_impl,paraphrase,1,paraphrase_test,0,mlp,23,22,114,0.8665453040660883,0.6627096973102038
1,task_001,paraphrase_impl,paraphrase,1,paraphrase_test,0,mlp,24,23,114,0.7573598937645758,0.5254868274497675
1,task_001,paraphrase_impl,paraphrase,1,paraphrase_test,0,mlp,25,24,114,0.7893191838348406,0.5698741296810794
1,task_001,paraphrase_impl,paraphrase,1,paraphrase_test,0,mlp,26,25,114,0.8114023912141648,0.5812316693691802
1,task_001,paraphrase_impl,paraphrase,1,paraphrase_test,0,mlp,27,26,114,0.7937559543541826,0.5525491242627438
